time,outputValues,id,outputNames,outputUnits,occasion,timeUnits,correspondingOutputPath
0,0,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.17543363896181e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,2.65842879317678e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,3.74095471179115e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,4.31902596272761e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,4.4365037648541e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,4.34524183996352e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,4.18699399306514e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.07199358291564e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,3.92659398353601e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
100,3.71870450027451e-05,1,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
0,0,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
10,1.03234383063499e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
20,3.10569931111165e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
30,4.28512305563125e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
40,5.04195705706839e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
50,5.16645464286309e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
60,5.11634739372394e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
70,5.02111567053824e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
80,4.86707019238905e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
90,4.64924332673606e-05,2,plasma,µg/l,1,h,DERMAL_APPLICATION_AREA|in_vivo_sink|permeant|whole_body_concentration
